Name,Authors,Price,Image-url,Rating,NumberOfPages,Format,Publication date,Publisher,Language,ISBN10,ISBN13,Publication City,Publication Country,Width,Height,Thickness,Weight
Machine Learning and Systems Engineering,"Sio-Iong Ao, Burghard B. Rieger, Mahyar Amouzegar",5541.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9789/4007/9789400733749.jpg,3.5,614.0,Paperback,2012-12-05,Springer,English,9400733747,9789400733749,Dordrecht,Netherlands,155.0,235.0,32.51,961.0
"Machine Learning in Medical Imaging : Third International Workshop, MLMI 2012, Held in Conjunction with MICCAI 2012, Nice, France, October 1, 2012, Revised Selected Papers","Fei Wang, Dinggang Shen, Pingkun Yan, Kenji Suzuki",1567.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/6423/9783642354274.jpg,,276.0,Paperback,2012-11-13,Springer,English,3642354270,9783642354274,Berlin,Germany,155.0,235.0,15.49,444.0
"Machine Learning and Intelligent Communications : Third International Conference, MLICOM 2018, Hangzhou, China, July 6-8, 2018, Proceedings","Limin Meng, Yan Zhang",2073.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0300/9783030005566.jpg,,675.0,Paperback,2018-10-13,Springer,English,3030005569,9783030005566,Cham,Switzerland,155.0,235.0,35.31,1050.0
Practical Java Machine Learning : Projects with Google Cloud Platform and Amazon Web Services,Mark Wickham,854.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4842/9781484239506.jpg,,392.0,Paperback,2019-02-01,aPress,English,1484239504,9781484239506,Berkley,United States,178.0,254.0,21.59,787.0
Selected Topics in Machine Learning,Rashmi Goswami,880.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7266/9781726661454.jpg,,110.0,Paperback,2018-10-14,Independently Published,English,1726661458,9781726661454,,,170.0,244.0,6.0,186.0
Python 3 for Machine Learning,Oswald Campesato,1286.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6839/9781683924951.jpg,,200.0,Paperback,2020-03-27,Mercury Learning & Information,English,1683924959,9781683924951,,,178.0,229.0,22.86,521.63
An Introduction to Machine Learning,"Gopinath Rebala, Ajay Ravi, Sanjay Churiwala",2923.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9783/0301/9783030157319.jpg,4.0,288.0,Paperback,2019-06-04,Springer,English,3030157318,9783030157319,,,156.0,234.0,15.0,408.0
"Machine Learning with Python : The Ultimate Guide for Absolute Beginners with Steps to Implement Artificial Neural Networks with Real Examples (Useful Python Tools eg. Anaconda, Jupiter Notebook)",Daniel Geron,627.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/0814/9781081474003.jpg,3.17,184.0,Paperback,2019-07-19,Independently Published,English,1081474009,9781081474003,,,152.0,229.0,10.0,254.0
Machine Learning for beginners : Azure AI,Uditha Bandara,515.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/6868/9781686820359.jpg,,68.0,Paperback,2019-08-16,Independently Published,English,1686820356,9781686820359,,,152.0,229.0,5.0,141.0
Applied Machine Learning with Python,Andrea Giussani,1263.0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/8313/9788831322041.jpg,4.0,164.0,Paperback,2020-04-30,Bocconi University Press,English,8831322044,9788831322041,,,171.0,241.0,12.7,340.19
